slug,name,aliases,strain_type,lineage,dominant_terpene,aroma_notes,flavor_notes,terpenes,dominant_cannabinoid,potency_note,bud_structure,origin,summary,sources,confidence
blueberry,Blueberry,bb|dj short blueberry|blueberry kush,indica,Afghani x Thai x Purple Thai,myrcene,blueberry|sweet|berry|earthy,blueberry|sweet|berry,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States (DJ Short),A heritage indica famous for its true-to-name sweet blueberry aroma and flavor; the root of most 'blue' strains.,leafly|wikileaf,0.92
blue dream,Blue Dream,bluedream|blue dream haze|azure haze,hybrid,Blueberry x Haze,myrcene,berry|sweet|herbal|blueberry,blueberry|sweet|vanilla,myrcene|pinene|caryophyllene,thc,typically high THC,fluffy,"California, United States",A West Coast classic sativa-leaning hybrid with a sweet blueberry aroma over a soft herbal backbone.,leafly|wikileaf,0.95
blueberry muffins,Blueberry Muffins,blueberry muffin,hybrid,Blueberry x Razzle Berry,caryophyllene,blueberry|sweet|creamy,blueberry|sweet|cream,caryophyllene|myrcene|pinene,thc,typically high THC,dense,United States,"A sweet, smooth, creamy descendant of legendary Blueberry.",leafly,0.82
blackberry kush,Blackberry Kush,bbk,indica,Blackberry x Afghani,myrcene,blackberry|sweet|earthy|fuel,blackberry|sweet|earthy,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States,"Also BBK; a strong-bodied indica with bold, sweet-earthy blackberry notes.",leafly,0.85
haze,Haze,,sativa,South American x Thai,myrcene,spicy|citrus|earthy,spicy|citrus|earthy,myrcene|terpinolene|pinene,thc,classic sativa,wispy,"Santa Cruz, United States","A foundational sativa from 1960s California, parent of most 'haze' strains, with spicy citrus notes.",leafly,0.9
skunk 1,Skunk 1,skunk #1|skunk number 1,hybrid,Acapulco Gold x Afghani x Colombian Gold,myrcene,skunk|earthy|sour|sweet,skunk|earthy|sweet,myrcene|caryophyllene|humulene,thc,classic hybrid,dense,United States / Netherlands,"A genetic cornerstone of countless hybrids since the late 1970s, with a pungent skunky-earthy aroma.",leafly|seedfinder,0.9
super skunk,Super Skunk,,hybrid,Skunk 1 x Afghani,myrcene,skunk|earthy|sweet|citrus,skunk|earthy|sweet,myrcene|caryophyllene|humulene,thc,classic hybrid,dense,Netherlands,"A heavier Skunk 1 cross with a sweeter, more pungent skunk aroma.",leafly|seedfinder,0.85
super silver haze,Super Silver Haze,ssh|super silver,sativa,Skunk x Northern Lights x Haze,terpinolene,citrus|spicy|earthy|skunk,citrus|spicy|earthy,terpinolene|myrcene|caryophyllene,thc,classic sativa,frosty,Netherlands,"A multi-award-winning Dutch sativa, sticky and fragrant with an energetic head high.",leafly,0.88
super lemon haze,Super Lemon Haze,slh|super lemon,sativa,Lemon Skunk x Super Silver Haze,terpinolene,lemon|citrus|sweet|zesty,lemon|citrus|zesty,terpinolene|limonene|caryophyllene,thc,typically high THC,frosty,Netherlands,"A zesty, tart, lemony sativa update of Super Silver Haze.",leafly,0.88
lemon skunk,Lemon Skunk,lemonskunk|las vegas lemon skunk,hybrid,Skunk phenotypes,terpinolene,lemon|citrus|skunk|sweet,lemon|citrus|skunk,terpinolene|limonene|myrcene,thc,typically high THC,dense,Netherlands,"A bright, zesty lemon Skunk selection with a sweet citrus aroma.",leafly|seedfinder,0.82
jack herer,Jack Herer,jh|jack|the jack|premium jack,sativa,Haze x Northern Lights #5 x Shiva Skunk,terpinolene,pine|spicy|earthy|citrus,pine|pepper|citrus|wood,terpinolene|caryophyllene|pinene,thc,typically high THC,frosty,Netherlands,"A spicy-pine sativa classic named for the cannabis advocate, with a fresh, herbal-citrus character.",leafly|wikileaf,0.92
green crack,Green Crack,green crush|mango crack|green cush,sativa,Skunk 1,myrcene,citrus|mango|tropical|sweet,mango|citrus|tangy,myrcene|caryophyllene|limonene,thc,typically high THC,dense,United States,"A zesty sativa with a sharp citrus-mango aroma and a bright, tangy profile.",leafly,0.88
strawberry cough,Strawberry Cough,,sativa,Haze x Strawberry Fields,myrcene,strawberry|sweet|berry,strawberry|sweet|berry,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States,"A potent sativa known for a sweet strawberry scent and an uplifting, cerebral character.",leafly,0.85
tangie,Tangie,cali orange tangie,sativa,California Orange x Skunk 1,myrcene,orange|tangerine|citrus|sweet,orange|tangerine|citrus,myrcene|limonene|caryophyllene,thc,typically high THC,frosty,Netherlands,A high-energy sativa with a refreshing tangerine aroma and sticky buds.,leafly,0.88
chocolope,Chocolope,chocalope|d-line,sativa,Chocolate Thai x Cannalope Haze,myrcene,coffee|earthy|sweet|chocolate,coffee|chocolate|earthy,myrcene|caryophyllene|pinene,thc,typically high THC,fluffy,Netherlands,"A hefty sativa with earthy, sweet coffee-and-chocolate flavors and dreamy, cerebral character.",leafly,0.85
trainwreck,Trainwreck,train wreck,hybrid,Mexican x Thai x Afghani,myrcene,pine|lemon|spicy|earthy,lemon|pine|pepper,myrcene|terpinolene|pinene,thc,typically high THC,frosty,"Northern California, United States","A pungent sativa-dominant hybrid with a sharp pine-and-lemon aroma and a spicy, herbal edge.",leafly|wikileaf,0.9
pineapple express,Pineapple Express,pineapple xpress,hybrid,Trainwreck x Hawaiian,caryophyllene,pineapple|tropical|sweet|citrus,pineapple|tropical|cedar,caryophyllene|limonene|pinene,thc,typically high THC,dense,United States,A tropical hybrid with a bright pineapple aroma over sweet citrus and a hint of cedar.,leafly|wikileaf,0.9
ak-47,AK-47,ak47|ak 47,hybrid,South American x Mexican x Thai x Afghani,myrcene,sour|earthy|floral|sweet,sour|earthy|floral,myrcene|caryophyllene|pinene,thc,typically high THC,dense,Netherlands,"A sociable hybrid with a sour, earthy aroma and sweet floral notes.",leafly|seedfinder,0.85
candyland,Candyland,candy land,sativa,Platinum GSC x Granddaddy Purple,caryophyllene,sweet|earthy|spicy,sweet|earthy|spicy,caryophyllene|myrcene|limonene,thc,typically high THC,frosty,"California, United States","A classic sativa sparkling with trichomes and a contrast of purple, green, and orange.",leafly,0.82
dutch treat,Dutch Treat,,hybrid,Northern Lights x Haze,terpinolene,pine|eucalyptus|sweet|fruit,pine|sweet|fruit,terpinolene|myrcene|pinene,thc,typically high THC,dense,Netherlands,"A classic with cerebral effects and an intense sweet-fruit, pine, and eucalyptus aroma.",leafly,0.82
banana kush,Banana Kush,,hybrid,Ghost OG x Skunk Haze,limonene,banana|tropical|sweet|fruity,banana|tropical|sweet,limonene|myrcene|caryophyllene,thc,typically high THC,dense,United States,"An aromatic hybrid that fills the nose with sweet, fruity, tropical banana notes.",leafly,0.85
strawberry banana,Strawberry Banana,strawnana|strawberry banana kush,hybrid,Banana Kush x Bubble Gum,limonene,strawberry|banana|sweet|fruity,strawberry|banana|sweet,limonene|myrcene|caryophyllene,thc,typically very high THC,frosty,United States,"Also Strawnana; a sweet, fruity hybrid with chill body character and an active mind.",leafly,0.85
orange creamsicle,Orange Creamsicle,creamsicle,hybrid,Orange Crush x Juicy Fruit,myrcene,orange|cream|citrus|sweet,orange|cream|citrus,myrcene|limonene|caryophyllene,thc,typically high THC,dense,United States,A creamy orange treat with a creamy citrus smell and taste.,leafly,0.82
lemon tree,Lemon Tree,lemontree,hybrid,Lemon Skunk x Sour Diesel,myrcene,lemon|citrus|diesel|sweet,lemon|citrus|diesel,myrcene|limonene|caryophyllene,thc,typically high THC,spongy,United States,A pungent hybrid with an unforgettable modern lemon flavor.,leafly,0.85
papaya punch,Papaya Punch,,hybrid,Papaya x Purple Punch,limonene,tropical|papaya|sweet|cheese,tropical|sweet|cheese,limonene|myrcene|caryophyllene,thc,typically high THC,dense,United States,"A sweet, fruity couch-chill hybrid with tropical flavors and a hint of cheese.",leafly,0.8
mango,Mango,,indica,Afghani x KC 33,myrcene,mango|tropical|sweet|fruity,mango|tropical|sweet,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States,"An indica known for a juicy, fruity mango flavor.",leafly,0.82
northern lights,Northern Lights,nl|northern light|northern lights #5,indica,Afghani x Thai,myrcene,earthy|sweet|pine|spicy,sweet|earthy|pine,myrcene|caryophyllene|pinene,thc,classic indica,dense,United States / Netherlands,"A legendary indica with a sweet, earthy-pine aroma and a smooth, resinous profile; parent of countless hybrids.",leafly|wikileaf,0.92
bubba kush,Bubba Kush,bubba|pre-98 bubba kush|bubba kush pre-98,indica,OG Kush x Afghani,caryophyllene,earthy|coffee|chocolate|sweet,coffee|chocolate|earthy,caryophyllene|myrcene|limonene,thc,typically high THC,chunky,United States,A tranquilizing indica with sweet hash flavors and subtle notes of chocolate and coffee.,leafly,0.88
master kush,Master Kush,masterkush,indica,Hindu Kush selections,caryophyllene,earthy|citrus|hash,earthy|citrus|hash,caryophyllene|myrcene|limonene,thc,typically high THC,dense,Netherlands,A popular indica from two Hindu Kush landraces with a subtle earthy hash smell and hints of citrus.,leafly,0.85
purple kush,Purple Kush,purps kush,indica,Purple Afghani x Hindu Kush,myrcene,grape|earthy|sweet,grape|earthy|sweet,myrcene|caryophyllene|pinene,thc,typically high THC,dense,"Oakland, United States","A pure indica with long-lasting, deeply relaxing character and sweet grape-earth notes.",leafly,0.85
pink kush,Pink Kush,,hybrid,OG Kush descendant,myrcene,sweet|vanilla|candy|floral,vanilla|sweet|candy,myrcene|caryophyllene|limonene,thc,typically very high THC,dense,Canada,An indica-dominant hybrid with sweet vanilla and candy-perfume aromas and pink-haired buds.,leafly,0.82
white rhino,White Rhino,whiterhino|rhino,indica,White Widow x North American Indica,myrcene,earthy|woody|sweet,earthy|woody|sweet,myrcene|caryophyllene|pinene,thc,typically high THC,dense,Netherlands,"A beast of an indica with classic White Widow lineage and earthy, woody notes.",leafly,0.82
white widow,White Widow,whitewidow,hybrid,Brazilian Sativa x South Indian Indica,myrcene,earthy|woody|spicy|floral,earthy|pepper|wood,myrcene|caryophyllene|pinene,thc,classic hybrid,frosty,Netherlands,"A balanced classic hybrid with an earthy, woody aroma and a peppery, resin-heavy character.",leafly|wikileaf,0.9
la confidential,LA Confidential,la con,indica,LA Affie x Afghani,myrcene,pine|skunk|earthy,pine|skunk|earthy,myrcene|limonene|caryophyllene,thc,typically high THC,dense,"California, United States",A West Coast indica with notes of pine and a skunky taste.,leafly,0.82
mk ultra,MK Ultra,,indica,OG Kush x G13,myrcene,earthy|pungent|pine,earthy|pungent|pine,myrcene|caryophyllene|limonene,thc,typically very high THC,dense,Netherlands,"A potent, pungent indica best for winding down; not for newbies.",leafly,0.82
9 pound hammer,9 Pound Hammer,9lb hammer|nine pound hammer,indica,Gooberry x Hell's OG x Jack the Ripper,myrcene,grape|lime|sweet|funky,grape|lime|sweet,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States,"A heavy indica with dense, resin-coated buds and sweet grape-lime flavors.",leafly,0.82
do-si-dos,Do-Si-Dos,dosidos|dosi|do si dos|dosido,indica,GSC x Face Off OG,limonene,sweet|earthy|floral|minty,sweet|mint|earthy,limonene|caryophyllene|linalool,thc,typically very high THC,frosty,United States,"A frosty indica with a sweet, earthy aroma and floral-mint undertones; parent of Slurricane.",leafly|wikileaf,0.9
peanut butter breath,Peanut Butter Breath,pb breath|pbb,hybrid,Do-Si-Dos x Mendo Breath,caryophyllene,nutty|savory|earthy,nutty|savory|earthy,caryophyllene|limonene|humulene,thc,typically high THC,dense,United States,"A savory, nutty hybrid that smells like roasted, salted peanut butter.",leafly,0.85
mendo breath,Mendo Breath,mendo breath og,indica,Mendo Montage x OGKB,caryophyllene,vanilla|caramel|sweet|earthy,vanilla|caramel|sweet,caryophyllene|myrcene|limonene,thc,typically high THC,frosty,"Mendocino, United States",A heavy indica with sweet vanilla and caramel flavors off frosty buds.,leafly,0.82
motorbreath,Motorbreath,,hybrid,Chemdog x SFV OG,myrcene,diesel|gas|earthy,diesel|gas|earthy,myrcene|caryophyllene|limonene,thc,typically very high THC,dense,United States,"A potent, gassy, earthy hybrid crossing Chemdog and SFV OG.",leafly,0.85
gushers,Gushers,white gushers|gusher|fruit gushers,hybrid,Gelato 41 x Triangle Kush,limonene,tropical|fruity|gas|sweet,tropical|gas|sweet,limonene|caryophyllene|myrcene,thc,typically very high THC,dense,United States,"Also White Gushers; a gassy, tropical-fruit hybrid that is beautiful, multi-colored, and glistening.",leafly,0.85
apple fritter,Apple Fritter,apple fritters,hybrid,Sour Apple x Animal Cookies,limonene,apple|sweet|pastry|earthy,apple|sweet|pastry,limonene|caryophyllene|myrcene,thc,typically very high THC,lumpy,United States,"A potent hybrid with a lumpy bud structure and a pungent, apple-pastry flavor.",leafly,0.8
alien og,Alien OG,,hybrid,Tahoe OG x Alien Kush,myrcene,earthy|lemon|pine,earthy|lemon|pine,myrcene|limonene|caryophyllene,thc,typically very high THC,dense,"California, United States",A potent hybrid with intense head and body character and classic OG lemon-pine notes.,leafly,0.8
original glue,Original Glue,gg4|gorilla glue|gg #4|glue|gorilla glue #4|gorilla glue 4|gorilla glue #1|gorilla glue 1|gorrilla glue|the glue,hybrid,Chem's Sister x Sour Dubb x Chocolate Diesel,myrcene,earthy|pungent|pine|fuel,earthy|pine|diesel|chocolate,myrcene|caryophyllene|limonene,thc,typically very high THC,frosty,United States,GG4 / Gorilla Glue — a heavy-resin hybrid with a pungent earthy-fuel aroma and notes of pine and chocolate.,leafly|wikileaf,0.92
cheese,Cheese,uk cheese|exodus cheese|the cheese,hybrid,Skunk 1,pinene,cheese|funky|earthy|sour,cheese|funky|earthy,pinene|myrcene|caryophyllene,thc,classic hybrid,dense,United Kingdom,"An indica-leaning hybrid famous for its pungent, tangy cheese aroma.",leafly,0.85
